Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
de_de,C:\Users\prakh\AppData\Local\Temp\tmpg33gx6nu.wav,0.25,0.465,0.952,1.68
de_de,C:\Users\prakh\AppData\Local\Temp\tmp8sbkqods.wav,0.286,0.58,0.98,1.77
de_de,C:\Users\prakh\AppData\Local\Temp\tmpio60d5am.wav,0.1,0.563,0.96,1.41
de_de,C:\Users\prakh\AppData\Local\Temp\tmpkel4ndpb.wav,0.222,0.726,0.989,0.94
de_de,C:\Users\prakh\AppData\Local\Temp\tmpx73lt_0e.wav,0.417,0.652,0.995,1.51
de_de,C:\Users\prakh\AppData\Local\Temp\tmpdb2q6quq.wav,0.176,0.729,0.991,1.23
de_de,C:\Users\prakh\AppData\Local\Temp\tmp3plgwcyh.wav,0.143,0.823,0.986,1.18
de_de,C:\Users\prakh\AppData\Local\Temp\tmpuv7kfyp2.wav,0.545,0.309,0.914,1.52
de_de,C:\Users\prakh\AppData\Local\Temp\tmp4wm7f3e7.wav,0.083,0.949,0.993,1.45
de_de,C:\Users\prakh\AppData\Local\Temp\tmpdjeb3m13.wav,0.143,0.562,0.983,1.06
de_de,C:\Users\prakh\AppData\Local\Temp\tmp1c2m6avd.wav,0.176,0.939,0.998,1.57
de_de,C:\Users\prakh\AppData\Local\Temp\tmp25b8v34b.wav,0.103,0.79,0.983,1.9
de_de,C:\Users\prakh\AppData\Local\Temp\tmpzzm0s7ss.wav,0.286,0.596,0.947,1.24
de_de,C:\Users\prakh\AppData\Local\Temp\tmpbak9aytg.wav,0.263,0.814,0.99,1.42
de_de,C:\Users\prakh\AppData\Local\Temp\tmpz56af1yq.wav,0.227,0.834,0.986,1.6
de_de,C:\Users\prakh\AppData\Local\Temp\tmpyc60csh5.wav,0.25,0.263,0.946,1.57
de_de,C:\Users\prakh\AppData\Local\Temp\tmp0moiofas.wav,0.15,0.625,0.967,1.41
de_de,C:\Users\prakh\AppData\Local\Temp\tmpwzvu5v88.wav,0.16,0.473,0.964,2.2
de_de,C:\Users\prakh\AppData\Local\Temp\tmprpb1xyke.wav,0.125,0.719,0.984,1.35
de_de,C:\Users\prakh\AppData\Local\Temp\tmph3u_o18c.wav,0.2,0.513,0.926,0.92
de_de,C:\Users\prakh\AppData\Local\Temp\tmph4xfwp8q.wav,0.308,0.128,0.933,0.95
de_de,C:\Users\prakh\AppData\Local\Temp\tmpmkvdfj6h.wav,0.143,0.66,0.971,2.71
de_de,C:\Users\prakh\AppData\Local\Temp\tmp6z5xx1gj.wav,0.25,0.812,0.973,1.73
de_de,C:\Users\prakh\AppData\Local\Temp\tmptfgg45mt.wav,0.158,0.814,0.994,1.24
de_de,C:\Users\prakh\AppData\Local\Temp\tmp4l6sigar.wav,0.176,0.729,0.991,1.24
de_de,C:\Users\prakh\AppData\Local\Temp\tmpq4_luwkm.wav,0.238,0.804,0.967,1.36
de_de,C:\Users\prakh\AppData\Local\Temp\tmp82vmnduf.wav,0.136,0.957,0.994,1.32
de_de,C:\Users\prakh\AppData\Local\Temp\tmp0kybnoyg.wav,0.75,0.638,0.942,1.72
de_de,C:\Users\prakh\AppData\Local\Temp\tmp9pn2ks11.wav,0.167,0.465,0.96,1.76
